               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              5.5574,              8.4697,              5.3898,             0.31959,            0.013413,           0.0055698,           0.0017247,                   0,                   0,                   0,             0.07007,           0.0033255,           0.0033255
                   1,              4.9422,              6.5066,              4.7189,              0.8507,            0.034569,            0.050345,            0.017168,                   0,                   0,                   0,            0.040004,           0.0065929,           0.0065929
                   2,              3.6191,              4.2907,              3.0748,             0.42933,             0.17807,             0.13535,            0.049102,                   0,                   0,                   0,           0.0098726,           0.0097943,           0.0097943
                   3,              3.1345,              3.4578,              2.4611,             0.38747,             0.20853,             0.18828,            0.076418,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              2.8922,              3.0349,              2.2456,             0.51549,             0.28423,              0.2379,            0.095936,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              2.7711,              2.7486,              2.1396,             0.49664,             0.28458,              0.2616,             0.11209,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              2.6711,              2.5508,              2.0553,             0.60533,             0.37878,             0.30656,             0.13862,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              2.6184,              2.3903,              2.0154,             0.49994,              0.3512,             0.31342,             0.13926,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              2.5308,               2.293,              1.9698,              0.4738,              0.4071,             0.32214,             0.14754,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              2.4929,              2.2356,              1.9259,             0.49997,             0.38128,             0.33189,             0.15228,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              2.4651,              2.1656,               1.897,             0.58481,             0.37872,              0.3663,             0.16122,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              2.4192,              2.1104,               1.885,             0.59711,             0.45262,             0.37609,             0.16334,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              2.3933,              2.0416,               1.845,             0.51446,             0.48305,             0.39551,             0.17964,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              2.3567,              1.9993,              1.8362,             0.52289,             0.46399,             0.40014,             0.18802,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              2.3335,              1.9715,              1.8148,             0.59618,             0.48998,             0.37704,             0.17758,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
